trial,gameId,words,target,distractor
2,5T8wESy34MKBRkBJr,a boat,swim,walk
2,5WPekHjNG898YuMXe,"a person, an animal",hold,walk
2,8PWtSpgpocS3Jvzph,a bear,jump,walk
2,9uKTejKqe3TNXkfAW,a person,walk,hold
2,Ce897yATiBxGr92Xo,a person,walk,hold
2,D5CPASpy5Aj3aZNtS,a person in the mountains,swim,jump
2,SowubDEr7fQNBP6te,magnet,hold,swim
2,X3KGngsmofwhPuzW2,a birdie that’s flying,swim,jump
2,XWpuLuSnNumcHxf7w,S,swim,jump
2,Yrc2wiX7ZxZFS2wX6,human,hold,swim
2,bcszyeDMyWZqFeMBh,a person,hold,walk
2,euCvEekqCAQC9sfav,feet that are up and a bite like this and a head,jump,walk
2,hueqkSoqSjYjcD9En,"a square, with one feet",hold,swim
2,kduAREQdY39j2SgoC,"stickles, seesaw",swim,jump
2,qL2AxZnRykJWLDA7H,a whale,swim,jump
2,xCqhPo6f65u6PJhy3,a person,hold,swim
2,ymmWkP9LexXqZPujp,"a plane, a boat, that has a turbo engine on the back",swim,hold
3,5T8wESy34MKBRkBJr,a boat,jump,swim
3,5WPekHjNG898YuMXe,A person walking,walk,swim
3,9uKTejKqe3TNXkfAW,a whale,swim,jump
3,A7RxNsfTJqTwfBejN,a person holding a plate,hold,walk
3,Ce897yATiBxGr92Xo,a girl,hold,walk
3,D5CPASpy5Aj3aZNtS,a person,hold,walk
3,SowubDEr7fQNBP6te,"a block, it has a triangle, it’s on the ground",swim,hold
3,X3KGngsmofwhPuzW2,"a person that’s walking, an angel",jump,walk
3,XWpuLuSnNumcHxf7w,triangle,jump,swim
3,Yrc2wiX7ZxZFS2wX6,a person,walk,hold
3,baPLK5TnMYMSDvksA,"a block, the squares, square",jump,walk
3,bcszyeDMyWZqFeMBh,a person,walk,hold
3,euCvEekqCAQC9sfav,a car,swim,walk
3,gF7PeenLLsSHsF4CG,a boat,swim,walk
3,kduAREQdY39j2SgoC,a flying people,jump,walk
3,qL2AxZnRykJWLDA7H,"a person, a person",hold,swim
3,xCqhPo6f65u6PJhy3,"a bird, a guard jumping in the air",jump,walk
3,ymmWkP9LexXqZPujp,a person,hold,jump
4,5T8wESy34MKBRkBJr,feet,hold,jump
4,5WPekHjNG898YuMXe,"a person with one leg, a flamingo with a triangle",swim,hold
4,8PWtSpgpocS3Jvzph,a person,walk,hold
4,9uKTejKqe3TNXkfAW,a person holding something,hold,walk
4,A7RxNsfTJqTwfBejN,a kind of person,walk,swim
4,Ce897yATiBxGr92Xo,someone jumping,jump,swim
4,D5CPASpy5Aj3aZNtS,a person walking,walk,hold
4,SowubDEr7fQNBP6te,"bird, a person flying",jump,hold
4,X3KGngsmofwhPuzW2,"a person, looks like a person but it’s not",walk,hold
4,XWpuLuSnNumcHxf7w,a person,hold,walk
4,Yrc2wiX7ZxZFS2wX6,a flying human,jump,hold
4,baPLK5TnMYMSDvksA,a man,hold,jump
4,bcszyeDMyWZqFeMBh,a flying person,jump,walk
4,euCvEekqCAQC9sfav,someone that’s holding a backwards triangle cup,hold,jump
4,gF7PeenLLsSHsF4CG,a person,walk,swim
4,hueqkSoqSjYjcD9En,a guy,walk,hold
4,kduAREQdY39j2SgoC,a kid,walk,jump
4,qL2AxZnRykJWLDA7H,a person,jump,hold
4,xCqhPo6f65u6PJhy3,a person walking,walk,jump
4,ymmWkP9LexXqZPujp,a bird that has feet,jump,swim
5,5T8wESy34MKBRkBJr,a person walking,walk,hold
5,5WPekHjNG898YuMXe,a person jumping,jump,swim
5,8PWtSpgpocS3Jvzph,a sloth,swim,walk
5,9uKTejKqe3TNXkfAW,a bird,jump,hold
5,A7RxNsfTJqTwfBejN,a crocodile tasting an animal in the water,swim,walk
5,Ce897yATiBxGr92Xo,"airplane, a guy driving a jet plane, an airplane",swim,walk
5,D5CPASpy5Aj3aZNtS,"a person, this way",jump,hold
5,SowubDEr7fQNBP6te,a person sad walking,walk,jump
5,X3KGngsmofwhPuzW2,a water fountain,hold,jump
5,XWpuLuSnNumcHxf7w,a person,walk,swim
5,Yrc2wiX7ZxZFS2wX6,a boat,swim,jump
5,baPLK5TnMYMSDvksA,a man,walk,swim
5,bcszyeDMyWZqFeMBh,a laying person,swim,jump
5,euCvEekqCAQC9sfav,a human,walk,swim
5,gF7PeenLLsSHsF4CG,a superhero,jump,walk
5,hueqkSoqSjYjcD9En,two wings with a square in the back with two feet,jump,walk
5,kduAREQdY39j2SgoC,a server,hold,walk
5,qL2AxZnRykJWLDA7H,a sad face,walk,hold
5,xCqhPo6f65u6PJhy3,a person lying on the ground,swim,jump
5,ymmWkP9LexXqZPujp,a person,walk,jump
6,5T8wESy34MKBRkBJr,stairs,jump,hold
6,5WPekHjNG898YuMXe,someone jumping,jump,swim
